921504573747027969,@Aylssa_Milano and @GMA #MeToo Kids father gave me herpes and sexually assaulted me during relationship. #NowImhealing,
919987028615421952,I'm a #MeToo and my dm's are open for those who need somebody to talk with,
923465585945726976,#MeToo pic.twitter.com/vEtUI4duF8,
919940429621194752,#MeToo,
919882097807982592,#MeToo can we go back?,
920004167657193473,what she said #metoo #itsallofus https:// twitter.com/allison_carlee /status/919993804039450624 …,
922022566033870848,#canada .. Remember this one.. Meet the moron of the #USA .. #Trump #puppet #potus #trumprussia .. #metoo #Weinstein .. pic.twitter.com/N2VPotcu4l,
924023834507853824,And Betsy DeVos in The college system to protect the perps #MeToo,
919921285144170496,#MeToo #MoiAussi,
920299996553121793,#MeToo I was in Middle School the first time.,
920194353154289664,#metoo #virginmary pic.twitter.com/DguhHYL6BS,
919885858454433792,I was molested at 7. Only complaint I had was she scraped her teeth when going down. #MeToo,
920632712251236352,Excited about speaking at the ARDX Foundation Mental Health Wellness Conference on 10/20 in Chesapeake VA. #MeToo #gettingitright pic.twitter.com/4OCq711cSJ,
919836578129649665,#MeToo,
920023636404330497,"Harvey Weinstein scandal: #metoo raises awareness of magnitude of sexual assault, harassment http:// canada.trendolizer.com/2017/10/harvey -weinstein-scandal-metoo-raises-awareness-of-magnitude-of-sexual-assault-harassment.html … pic.twitter.com/8sZj5ftrcN",
923144791029964800,#MeToo I sold sex to fund my unpaid internships. Poor kids are still battling the class gap https://www. theguardian.com/commentisfree/ 2017/oct/25/sold-sex-fund-unpaid-internships-poor-kids-battling-class-gap … #sexwork #waronwomen,
924242597333397504,I want whatever it is that @PressSec MUST be taking to sleep at night. #MeToo #harrassment #supportdontslander https:// twitter.com/washingtonpost /status/924001207030513664 …,
921112885866229760,"Wow, I had no idea about this person. I'm very sorry for what happened to you. #MeToo",
920670219143561216,I find comfort in knowing I'm not alone #MeToo,
919919767091384322,#MeToo starting at a young age. Completely messed me up.,
920327759934533632,#Metoo #boystomen is who i really feel for ...scared to speak for shame #Secretsandlies kill them #CoreyHaim @charliesheen @Corey_Feldman,
920380549570600960,#MeToo : BBC correspondent tells of harassment by colleagues http:// dailym.ai/2yxRIs7,
920327658730291203,A man grabbed my ass while at a party in New York. I told security. They didn't believe me until it happened to another women. #metoo,
920335813828861952,Pretty women stealing jobs from ugly women is not nice. I defend ugly women. Thugs and rapists don't. #metoo,
920892045862080513,#Breaking . #MonicaLewinsky is with @realDonaldTrump . (based on sources and common sense). #MeToo . @zlando @Anutfish @dorbar @DonaldJTrumpJr https:// twitter.com/KevinStAug/sta tus/920825385738268672 …,
919956896953577472,To all of you who blame yourselves and feel ashamed because “I shouldn’t have put myself in that situation” its not your fault. #MeToo,
920059293554094080,#metoo,
921561375478083584,Another awful tale from an Olympic champion about assault & the apolitical pain it brings. Such courage. #MeToo http:// dailysignal.com/2017/10/20/im- a-conservative-who-was-roofied-by-a-stranger-heres-what-i-think-of-me-too-hashtag/ …,
920058861305901056,#MeToo Let’s change the statistics to point to the real culprits pic.twitter.com/skkajvNBZU,
920021566376816640,#MeToo it's amazing how many of us have been assaulted!,
920682426057101313,The #MeToo of My Tween Acting Career: http:// lisarosman.com/2017/10/the-me too-of-my-tween-acting-career/ …,
920321327461933056,#metoo as we support the victim https:// twitter.com/logicalbakar/s tatus/920321127611633665 …,
920176027736797184,#metoo https:// twitter.com/Alyssa_Milano/ status/919659438700670976 …,
920689003858415618,#metoo,
924008245571833856,"hey, me too. • • • • I really debated if and how I wanted to speak up about the #metoo movement, and I finally wrote it down. check it out … pic.twitter.com/2XUydJopw7",
920711916879826944,Reading all these stories of assaults from the #metoo campaign is making me relive things I’d rather not.,
923213716765790208,"I wish Gretchen luck. Congress just took away Americans right to sue, reinstated mandatory arbitration in financial contracts. #metoo",
920408050422358016,"#MeToo For the first time at the age of 12. So many women have their own #metoo stories. Yes, stories plural. Let that sink in.",
920107866966519811,#MeToo Floods #SocialMedia With Stories of Harassment and Assault http:// dlvr.it/Pw24HQ #NYT #Business,
921034073530871810,Important reminder: sexual abuse/sexual assault is never the victim/survivor's fault. #endvictimblaming #MeToo pic.twitter.com/sfuYyW7U6x,
923720954659901441,Because being told you aren’t allowed to leave until I had sex with her after she hid my phone and keys #MeToo,
920132933557526528,The amount of people I have seen tweet and Facebook #MeToo is too many. Just One is too many. https:// twitter.com/vicecanada/sta tus/920129749732790272 …,
920071900474175490,"I’ve had grown men try to get into my car, follow me on my walk to school, and try to “flirt” with me when I was only 10. #metoo pic.twitter.com/gU2xJa4GzH",
923897841537486848,The DOJ Sexual Assault Justice Initiative could help #MeToo create lasting change: http:// urbn.is/2gGgdcj via @urbaninstitute,
921014296376676353,Ellen DeGeneres admits unwanted sexual attention and says #metoo : Chat show host Ellen… https:// goo.gl/fb/LhcExZ,
920037570620395521,#metoo,
923616664620617728,#MeToo We've had enough of institutionalized #sexualharassment in the restaurant industry. Join our conversation. http:// bit.ly/2yOLioQ,
921229621126823936,#MeToo,
919881517442068480,#Metoo,
921525903271723008,:( #MeToo,
923994897295822849,Janis Paige at 95 years old and will never forget #metoo https:// twitter.com/THR/status/923 991748556279816 …,
924231285542936576,You'd often hear the rumblings of this from people. What an eloquent piece @gracedyas #MeToo https:// twitter.com/gracedyas/stat us/923999107051655169 …,
920090171260964864,"Traveling as a woman alone, or with other women. Men are always trying to help."" Some situations have become scary (in the US too). #metoo""",
922133903246282754,#TalkthatTalk #LloydaNicholasGarrett #craziebeautiful #Weinsteined #Weinstein #Metoo #Guyana #GuyanaChronicle pic.twitter.com/lrQjVuZKQW,
919954887546408960,#MeToo because I still think about it everyday,
920232220526370816,"When you try to know more about this new guy and engage in a deep meaningful conversation but all he asks is a selfie"". #MeToo""",
919868670154862592,"It's saddening to see so many #metoo stories on social media. But, I have to admit it's NOT AT ALL SURREAL.",
920064435930255360,#metoo,
920875574217895941,"After Harvey Weinstein, women around the world are saying #MeToo - The Denver Post https:// apple.news/AgiM67qLxQuC5W D5EE6HvMA …",
920006585442885633,@MeToo pic.twitter.com/rDJya7GUvF,
919922341143912449,It breaks my heart to see all the “ metoo ’s” but at the same time I hope this wakes people up.,
920340445238124551,#MeToo,
920806278934315008,"For as advanced & sophisticated a time we live, in regards to sexual equality, we aren’t terribly far from the stone ages. #MeToo #ChangeNow",
920433192993046528,"I'm an adult and if I'm home alone and the doorbell rings, I don't answer it. Because I'm 100% legit afraid I'll be raped. #MeToo",
920261826352504832,"No company, ever, should feel the need to fit rape alarms in the women's toilets. #metoo ... http://www. clarejosa.com/articles/metoo/ via @clare_josa",
925102665025118208,Kevin spacey is a disgusting animal who’s using being gay as a cover up I fully support @albinokid as I’ve been through #Metoo as well,
920015010792968194,#MeToo https:// twitter.com/nicolemfuentes /status/920002488090152960 …,
920850645879369728,@TaranaBurke TY for creating the #MeToo campaign. #CreditWhereCreditIsDue #MeToo,
919881793519673344,AMEN #MeToo https:// twitter.com/scalpelslutt/s tatus/919872508240769024 …,
920702742166896647,#metoo,
919947313317072896,I thought no one would take my rape seriously as I'd gone for a couple of drinks with this guy #MeToo,
919876143372816384,#MeToo https:// twitter.com/Pappiness/stat us/919752795280027648 …,
920043306633056256,#MeToo ... twice...6 and 11... I don’t carry that Scarlett Letter anymore... #Survivor,
921302789841735680,#MeToo,
919965486779129857,"The Metoo hashtag was about sexual harassment and sexual assault. Big difference b/t the 2, and big difference b/t sexual assault and rape",
920713976178249738,#metoo,
919952583078400002,#MeToo,
919859928025595905,Check out this map showing how safe #Women feel on the streets of USA.. #MeToo Speak out and report #Harrassment ! .. http:// bit.ly/1pyURA7 pic.twitter.com/anAppeReDQ,
921172364280307712,Woman raped by Bill Clinton calls out Monica Lewinsky #MeToo http:// dmlnews.com/woman-raped-bi ll-clinton-calls-monica-lewinskys-metoo/ …,
919922258772156416,My take on the #MeToo tag as i attempt to call men to a place of acting and just being better https:// brettfish.co.za/2017/10/16/met oo-invisible-men/ … @Alyssa_Milano,
920285359304527872,TAINTED WITNESS author Leigh Gilmore on @npratc 'This is about refuting a toxic culture' on the #MeToo hashtag https:// n.pr/2x1jee1,
919974997615104002,#MeToo pic.twitter.com/blRi86kPas,
921094648176705536,#MeToo Something no one knows but someone needs to know right,
920761330256228352,"Thanks to every man using #HowIWillChange to show support to the #MeToo movement <3 There's hope, let's work hand in hand!",
920063518405210112,I will not be ashamed because it happened to me. #MeToo,
9.20026E+17,#MeToo,
920016943012352001,"#Metoo , for every time I had to smile uneasily, change the conversation, wish to disappear, stand far away, look behind me ...list goes on https:// twitter.com/Oxfam/status/9 20008981850001408 …",
921577105883766784,"Um... the  MeToo "" campaign was created for women to speak out against sexual assaults they've actually experienced. It does not apply here.""",
919922420739387393,"Too many instances to list. Unfurl your damp sheets into the light, sisters. Shame need not live in your house any longer. #meToo .",
920177125876838400,Sad to say it happens to a lot woman & young girls and it's Never reported But Now woman have a VOICE #MeToo #empoweringwomen #Respectwomen,
919860098620518400,#metoo pic.twitter.com/zEZueeNX75,
919950391932006400,#MeToo,
922548457738571777,So proud of everyone who added their voice to the conversation. <3 #metoo #attentionallmen #IWill #HowIWillChange https:// twitter.com/Alyssa_Milano/ status/919659438700670976 …,
921605659963068417,What has the #MeToo campaign brought up for you? This is something I wrote yesterday. Lots of stuff came up... http:// fb.me/1D9AcphgA,
919885075877191680,#metoo https:// twitter.com/chapinshadow/s tatus/919693816420012032 …,
923570542929743874,Worth a read as a #conscious human...irrespective of gender. What decent men can do in response to #MeToo @CNN http:// cnn.it/2gAtsz4,
920422224431079424,People who are annoyed&uncomfortable seeing #MeToo everywhere are part of the problem. Quit making women feel guilty for shit they didn't do,
919954701743001600,#MeToo,
919885584193277952,140 characters isn't nearly enough to describe the number of times... #metoo,
920406235396100097,#MeToo,
920132637154578433,"To echo #MeToo : Men, pledge to not harass women—perhaps more importantly—call it out when you see it happening. #Iwont pic.twitter.com/WvVox7BgCo",
920326415429619712,#metoo .,
