22,1,,3,,6,Who cares just block them
19,1,,5,,"4,5",
22,1,,4,,5,
20,1,,1,,"3,4,5",
24,1,,1,,3,
19,1,,3,,4,
19,1,,5,,5,
20,1,,6,,"2,4,5",
19,1,,4,,"3,5",
20,1,,5,,4,
19,1,,3,,"4,5",
22,1,,5,,1,
19,1,,1,,5,
21,1,,3,,3,
1,,,,,,
19,1,,4,,6,I don’t know and really don’t care just block someone who does it
21,1,,3,,"2,4",
19,1,,3,,"1,4,5",
19,4,,4,,"4,5",
20,1,,5,,1,
20,1,,5,,"5,6","Tech can't mitigate it, maybe if you really wanted to you could put some informative ads but thats about it sadly. Some people just don't get social cues and/or just really thirsty"
22,1,,6,,"4,5",
20,1,,4,,"2,4,5",
18,1,,3,,5,
21,1,,3,,"4,5",
21,1,,4,,,
18,1,,6,,1,
20,1,,3,,4,
26,1,,3,,"2,4,5",
19,1,,4,,"2,4,5",
20,1,,5,,2,
20,1,,5,,,
19,1,,6,,"4,6",moderate threads
19,1,,4,,"1,3,4",
18,1,,3,,"1,2,4",
19,1,,3,,,
19,1,,5,,4,
22,1,,5,,5,
21,1,,6,,"4,5",
19,1,,4,,5,
22,1,,3,,"4,5",
21,1,,2,,5,
20,1,,3,,"1,5",
18,1,,5,,5,
22,1,,6,,5,
20,1,,2,,5,
19,1,,4,,"1,2,4,5",
19,1,,5,,5,
19,1,,6,,"1,5",
24,1,,6,,6,I think Reddit hardly qualifies as a social network and is this much more removed from the idea of sexually harassing an individual.
22,1,,6,,,
20,1,,5,,5,
19,1,,6,,6,You don’t have the right to not be sexually harassed online anymore than you have the right not to be harassed online.
20,1,,5,,6,It’s why snap chats around. Send nudes
24,1,,5,,1,
22,1,,4,,4,
21,2,,6,,6,None
19,1,,6,,5,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
22,2,,1,,"2,4,5",
22,1,,3,,,
21,1,,1,,"4,5",
19,2,,3,,"2,4",
20,2,,1,,"3,4,5",
22,2,,3,,,
19,2,,3,,"2,4",
21,1,,2,,4,
18,2,,3,,"1,4",
20,2,,5,,"2,4",
19,2,,1,,"2,5",
22,2,,3,,4,
,,,,,,
20,2,,4,,"4,5",
21,1,,6,,5,
22,1,,4,,2,
18,1,,1,,5,
22,2,,5,,"1,2,3,4,5",
19,1,,6,,5,
19,2,,5,,4,
19,1,,6,,"1,2,4,5",
19,2,,1,,"1,2,3,4,5",
21,1,,3,,5,
21,2,,1,,"2,4,5",
21,2,,3,,"2,4",
22,1,,3,,"3,5",
19,2,,1,,1,
19,2,,3,,"1,2,4,5",
22,2,,3,,"1,2,3",
22,2,,3,,3,
21,2,,1,,"2,4,5",
20,2,,3,,"1,4,5",
21,2,,1,,2,
20,2,,6,,"1,2,4,5",
,,,,,,
19,2,,3,,"2,3,4",
21,2,,1,,"2,4,5",
22,2,,3,,2,
22,2,,3,,"2,4,5,6","I think this pertains to the option above, but when you report something on Instagram, Facebook, etc, it could pop up with a list of national, state and local resources based on your location. "
19,2,,1,,"1,2,4,5,6","Somehow flagging people who send inappropriate messages so that they can be easily removed from the platform. Also, some people will tag random other people in inappropriate posts, so maybe a way to only allow certain friends to tag you in posts would help"
19,2,,1,,"1,2,3,4,5",
21,1,,4,,"2,4,5",
21,2,,3,,"2,3,4",
22,2,,5,,5,
19,2,,3,,"2,4,5",
18,2,,2,,"1,2,4,5",
20,1,,3,,4,
20,2,,3,,"1,3,4,5",
21,1,,4,,"4,5",
22,2,,3,,"4,5",
19,2,,5,,"2,4",
19,1,,1,,5,
21,1,,4,,"2,4",
